"group.id","Actor","Partner","Hum1","Hum2","Hum3","Contrib1","Contrib2","Cre1","Cre2","Cre3","NonTalk","Shy","Safe1","Safe2","Safe3"
210,2,1,5,8,8,9,9,8,8,8,10,1,2,6,10
210,3,1,5,7,4,10,10,10,10,10,4,6,1,1,8
210,4,1,7,6,7,10,10,10,10,10,2,3,3,7,10
210,1,2,7,6,7,10,10,2,2,2,4,2,2,4,9
210,3,2,0,0,5,4,4,0,0,0,3,2,0,0,0
210,4,2,8,6,8,8,8,7,7,7,3,3,3,7,10
210,1,3,9,10,10,10,10,2,2,2,6,0,10,10,10
210,2,3,0,7,1,7,7,5,5,5,2,8,7,8,10
210,4,3,7,7,5,8,8,5,5,5,7,7,5,7,10
210,1,4,5,10,10,10,10,0,0,0,9,7,10,10,10
210,2,4,7,7,7,8,8,5,5,6,7,3,9,9,10
210,3,4,2,6,10,10,10,3,1,0,10,10,10,10,10
230,2,1,8,10,8,10,10,10,10,10,1,9,10,10,10
230,3,1,0,9,9,7,7,8,8,8,6,1,3,3,10
230,4,1,9,8,9,9,9,7,7,7,4,2,10,10,10
230,5,1,9,10,8,9,9,10,10,10,0,0,0,0,10
230,1,2,4,6,5,9,9,6,6,6,2,0,8,9,10
230,3,2,0,1,2,3,3,2,2,3,4,0,3,3,8
230,4,2,10,8,10,9,9,7.21513002364066,7.24113475177305,7.21749408983452,5,0,9,10,10
230,5,2,1,2,1,9,9,1,1,1,1,0,1,1,1
230,1,3,10,2,10,6,6,2,2,2,0,0,8,9,10
230,2,3,7,7,7,4,4,3,3,3,0,9,6,6,4
230,4,3,10,7.85545023696682,10,9,9,4,4,4,2,0,10,10,10
230,5,3,9,8,8,8,8,3,3,3,0,0,2,3,10
230,1,4,2,5,2,8,8,7,7,7,4,2,6,6,10
230,2,4,10,10,10,10,10,10,10,10,4,7,10,10,10
230,3,4,2,3,3,9,9,9,9,9,10,0,8,8,9
230,5,4,8,9,8,9,9,9,9,9,1,0,3,3,2
230,1,5,9,9,9,8,8,6,6,6,0,0,9,10,10
230,2,5,0,0,0,0,0,0,0,0,0,5,0,0,10
230,3,5,5,5,9,3,3,2,1,2,3,2,9,9,9
230,4,5,10,7.85545023696682,10,9,9,4,4,4,9,4,9,9,10
260,2,1,8,8,6,9,9,8,8,8,2,8,8,7,3
260,3,1,10,10,10,10,10,10,10,10,0,8,10,10,0
260,4,1,10,10,10,10,10,10,10,10,1,0,10,10,9
260,1,2,5,5,8,6,7,3,3,3,0,0,2,2,7
260,3,2,10,10,10,9,9,8,8,7,0,10,10,10,0
260,4,2,8,9,10,9,9,6,5,5,0,0,10,8,9
260,1,3,10,10,10,10,10,6,6,9,0,3,9,9,10
260,2,3,8,8,8,8,8,8,8,8,2,8,8,8,7
260,4,3,10,9,10,9,10,8,6,7,0,0,9,9,10
260,1,4,10,10,10,10,10,10,10,10,10,6,10,10,10
260,2,4,8,8,8,7,8,9,8,8,2,8,8,8,6
260,3,4,10,10,10,9,9,8,7,7,0,10,10,10,0
280,2,1,6,4,7,5,8,6,3,3,6,4,9,9,10
280,3,1,8,9,9,8,8,7,7,7,0,7,9,9,10
280,4,1,9,10,8,6,6,6,6,4,2,4,8,10,8
280,1,2,2,3,3,10,10,9,9,9,5,2,7,7,1
280,3,2,9,8,8,10,10,9,8,9,0,3,10,10,1
280,4,2,7,9,8,9,8,9,10,9,1,1,10,9,4
280,1,3,5,8,8,9,9,9,9,9,5,2,9,9,8
280,2,3,9,9,9,9,9,9,9,9,2,1,9,8,9
280,4,3,7,9,7,10,10,9,9,10,0,2,10,9,4
280,1,4,9,8,9,9,9,9,9,9,5,2,9,9,8
280,2,4,9,9,9,8,8,5,5,5,3,9,9,9,10
280,3,4,8,7,9,10,10,8,10,8,2,6,10,10,10
291,2,1,7,7,8,8,7,5,5,6,4,0,10,10,10
291,3,1,7,4,7,7,7,7,8,5,7,4,6,5,7
291,4,1,7,9,4,7,7,5,5,7,4,0,5,9,3
291,1,2,9,9,9,10,10,8,8,8,3,4,9,9,10
291,3,2,5,8,7,10,9,8,8,7,3,2,8,8,9
291,4,2,7,5,6,8,8,7,8,9,4,0,10,10,8
291,1,3,8,8,8,9,9,7,7,7,2,1,10,9,10
291,2,3,4,7,6,5,7,0,6,0,1,0,10,10,10
291,4,3,4,4,4,6,6,4,4,4,6,2,10,10,0
291,1,4,8,9,9,10,10,8,8,8,3,0,9,9,10
291,2,4,7,9,8,9,9,7,7,8,3,2,10,10,0
291,3,4,7,6,8,9,9,8,8,7,4,5,10,9,7
292,2,1,3,6,7,10,9,7,8,6,3,2,8,9,8
292,3,1,2,7,6,8,9,6,7,5,1,2,7,6,3
292,4,1,9,8,6,10,10,8,9,9,1,0,8,9,10
292,1,2,10,10,10,10,10,10,9,9,2,2,10,10,10
292,3,2,9,6,9,6,6,5,4,4,4,4,8,8,8
292,4,2,9,10,9,7,8,9,7,7,3,2,6,8,10
292,1,3,2,3,3,6,6,5,5,5,1,6,10,10,10
292,2,3,2,2,1,3,3,1,1,1,5,3,7,7,10
292,4,3,6,6,6,7,7,6,6,4,2,2,5,6,10
292,1,4,10,10,10,10,10,10,9,10,0,2,10,10,10
292,2,4,3,6,3,8,7,5,3,8,0,6,6,8,8
292,3,4,10,7,9,8,8,6,7,7,1,1,8,8,9
304,2,1,10,10,10,8,9,8,8,8,3,3,10,10,0
304,3,1,10,10,10,10,10,9,9,9,8,5,10,10,10
304,4,1,10,10,10,10,10,10,10,10,7,1,10,10,10
304,1,2,10,10,10,9,9,8,8,7,0,0,10,10,10
304,3,2,10,9,9,10,10,7,6,6,5,2,10,10,10
304,4,2,10,10,10,10,10,10,10,10,5,1,10,10,10
304,1,3,10,10,10,9,8,7,7,7,2,1,10,10,10
304,2,3,10,10,10,8,6,6,7,7,4,6,10,10,0
304,4,3,9,10,10,10,10,10,10,10,7,1,10,10,10
304,1,4,10,10,10,9,9,9,9,8,2,1,10,10,10
304,2,4,10,10,10,9,7,7,7,7,8,7,10,10,0
304,3,4,8,9,10,9,9,6,6,6,9,9,10,10,10
305,2,1,10,10,10,8,8,7,8,8,0,0,9,10,9
305,3,1,10,10,9,5,3,8,8,8,0,0,9,8,8
305,4,1,10,10,10,7,7,7,7,7,0,0,10,10,10
305,1,2,10,9,9,10,10,8,8,8,2,7,10,10,10
305,3,2,7,9,10,10,10,10,10,10,3,2,9,9,6
305,4,2,10,10,10,10,10,9,10,9,2,3,10,10,10
305,1,3,9,10,10,10,10,8,8,9,3,7,10,10,10
305,2,3,8,10,9,9,9,8,8,8,2,2,9,9,8
305,4,3,10,10,10,10,10,7,8,8,3,6,10,10,10
305,1,4,9,10,10,10,10,9,9,10,2,0,10,9,10
305,2,4,9,10,9,10,10,9,10,9,1,0,8,9,9
305,3,4,8,10,10,10,10,10,10,10,2,1,8,9,10
334,2,1,10,10,9,9,9,8,8,7,5,6,10,10,10
334,3,1,4,5,7,8,8,2,2,2,3.12529550827423,8,5,5,5
334,4,1,7,6,10,8,7,7,7,7,7,8,10,10,10
334,1,2,5,8,6,10,10,9,7,7,0,0,8,5,8
334,3,2,6,7,8,8,8,7,7,7,2,0,5,5,5
334,4,2,4,7,9,5,7,6,6,6,2,1,7,7,10
334,1,3,5,5,5,10,10,9,7,7,3,0,2,2,6
334,2,3,4,6,5,9,9,10,10,10,0,0,8,8,4
334,4,3,4,4,8,6,8,3,3,3,5,5,7,7,10
334,1,4,8,9,9,10,10,10,10,10,2,0,8,8,9
334,2,4,10,10,10,10,10,10,10,10,5,0,7,10,10
334,3,4,6,6,6,8,8,6,6,6,3,3,5,5,5
389,2,1,8,8,7,8,8,7,8,8,6,5,7,8,9
389,3,1,6,7,7,8,8,8,8,5,5,4,8,8,10
389,4,1,5,5,5,10,10,5,5,5,2,3,8,8,7
389,1,2,8,9,7,10,10,5,5,5,2,1,5,5,10
389,3,2,6,7,6,8,8,7,7,6,1,1,6,6,10
389,4,2,5,5,5,10,10,5,5,5,2,9,3,6,10
389,1,3,9,10,10,10,10,5,5,5,2,3,5,5,10
389,2,3,7,8,8,8,8,7,7,7,4,5,8,9,9
389,4,3,5,5,8,10,10,5,5,5,1,9,3,7,10
389,1,4,9,10,8,10,10,5,7,7,1,1,5,5,10
389,2,4,8,9,8,9,9,8,8,8,3,4,7,9,9
389,3,4,7,9,8,10,9,7,8,7,1,1,8,8,10
407,2,1,10,10,10,10,10,9,5,6,8,0,5,8,3
407,3,1,8,10,8,10,10,10,10,9,0,0,9,9,10
407,4,1,6,9,8,8,8,6,5,7,4,6,7,8,7
407,5,1,9,9,7,8,8,7,7,7,1,1,6,8,8
407,1,2,7,5,8,6,6,5,4,3,6,3,6,6,8
407,3,2,5,6,9,7,7,4,4,4,5,5,10,10,10
407,4,2,7,7,8,8,8,5,4,5,5,5,6,8,9
407,5,2,7,5,5,7,7,5,4,3,8,2,8,8,8
407,1,3,6,8,7,7,7,6,7,7,5,2,9,9,10
407,2,3,10,10,10,10,10,9,10,9,7,4,7,8,9
407,4,3,6,8,8,8,8,8,9,9,4,3,8,8,9
407,5,3,1,3,1,7,7,5,7,6,4,8,3,1,9
407,1,4,7,6,8,8,8,6,5,4,4,3,8,8,8
407,2,4,10,10,10,10,10,9,10,10,7,1,4,6,8
407,3,4,4,4,4,10,10,9,7,4,2,2,10,10,10
407,5,4,8,8,8,9,9,7,7,7,3,2,8,8,10
407,1,5,4,8,6,6,5,3,3,2,6,2,7,7,8
407,2,5,6,7,2,10,10,5,3,4,8,1,6,2,8
407,3,5,5,9,5,7,7,2,2,6,0,0,1,1,1
407,4,5,7,9,8,8,8,8,7,8,5,4,7,8,9
507,2,1,8,9,9,8,8,7,9,9,5,1,8,10,9
507,3,1,5,6,6,7,8,8,7,7,5,5,8,8,9
507,4,1,7,7,7,7,7,7,7,7,2,3,8,8,8
507,1,2,10,8,8,9,8,8,8,9,2,0,10,10,8
507,3,2,8,8,8,6,6,5,5,5,2,3,8,8,9
507,4,2,7,7,8,9,9,5,5,8,4,3,10,10,10
507,1,3,10,10,7,10,10,10,10,10,3,0,10,10,10
507,2,3,6,7,6,9,9,8,7,7,1,9,9,8,9
507,4,3,3,3,2,6,7,7,7,5,1,1,7,7,4
507,1,4,10,9,10,10,10,8,9,9,6,6,10,10,7
507,2,4,7,9,7,9,9,9,9,9,4,4,9,10,9
507,3,4,4,5,5,6,8,7,7,7,2,2,6,6,5
555,2,1,10,10,7,10,10,9,9,8,0,0,10,10,9
555,3,1,10,10,9,10,10,10,10,10,2,0,6,8,10
555,4,1,9,10,8,10,10,8,8,8,2,2,9,9,8
555,1,2,8,10,8,10,10,10,8,9,0,2,9,8,8
555,3,2,5,5,5,10,10,10,10,10,2,0,6,7,10
555,4,2,9,10,8,10,10,10,10,10,2,1,10,10,10
555,1,3,10,10,10,10,10,10,10,10,3,2,10,10,8
555,2,3,7,9,8,10,10,9,10,10,2,2,8,9,7
555,4,3,7,10,7,10,10,10,10,10,4,2,8,8,7
555,1,4,10,10,10,10,10,10,10,10,5,2,10,8,8
555,2,4,10,10,8,10,10,7,8,8,1,2,10,10,10
555,3,4,10,8,7,8,8,10,10,10,3,3,7,7,10
690,2,1,9,9,6,9,7,9,9,10,3,2,8,5,10
690,3,1,7,10,8,10,10,10,8,9,3,5,2,9,10
690,4,1,3,9,1,10,10,10,8,8,4,8,10,9,1
690,1,2,5,9,9,8,8,10,10,10,2,5,10,9,0
690,3,2,10,9,8,9,9,10,9,9,3,2,9,9,0
690,4,2,10,5,9,10,10,2,5,5,8,5,10,10,10
690,1,3,8,9,10,10,10,10,10,10,4,5,7,10,10
690,2,3,10,10,10,8,8,6,10,7,3,1,6,6,10
690,4,3,10,8,10,10,10,5,7,4,10,9,10,10,10
690,1,4,0,10,10,10,10,10,10,10,0,1,10,10,10
690,2,4,9,10,9,10,10,10,10,10,2,1,9,9,9
690,3,4,7,10,10,10,10,10,10,9,3,6,9,10,0
691,3,2,7,6,9,8,10,9,7,9,6,7,9,8,8
691,4,2,5,5,2,9,9,10,10,7,1,0,7,4,5
691,5,2,9,10,9,9,9,7,7,8,4,3,10,10,0
691,6,2,10,6,6,7,8,4,6,6,10,9,10,10,10
691,2,3,5,5,6,7,7,7,7,6,4,4,9,9,9
691,4,3,7,7,7,6,7,8,7,7,3,3,7,8,10
691,5,3,7,6,7,7,8,5,7,7,7,3,10,10,0
691,6,3,3,6,5,6,6,6,4,5,5,4,10,10,10
691,2,4,8,8,8,7,7,7,6,6,2,2,9,9,8
691,3,4,9,9,8,6,5,6,7,4,1,4,9,8,9
691,5,4,8,5,7,7,8,5,4,6,1,3,10,10,0
691,6,4,10,9,7,6,7,10,10,10,0,0,5,7,2
691,2,5,9,9,9,9,9,9,9,9,2,2,9,9,8
691,3,5,8,9,9,9,9,6,8,7,5,3,9,8,10
691,4,5,8,9,9,9,9,10,10,10,1,0,8,8,8
691,6,5,7,9,7,8,8,8,6,10,1,1,7,6,5
691,2,6,9,8,8,8,8,8,9,9,2,2,9,9,8
691,3,6,7,6,7,7,8,9,9,6,4,3,8,9,8
691,4,6,8,8,10,7,7,8,7,9,1,1,10,10,10
691,5,6,9,10,9,8,9,7,8,7,4,5,10,10,0
705,2,1,10,10,10,10,10,10,10,10,7,0,10,10,10
705,3,1,8,9,9,9,9,6,6,6,5,3,8,8,10
705,4,1,8,9,9,10,9,9,9,9,9,9,9,10,10
705,1,2,8,8,8,8,8,8,7,8,5,6,9,9,10
705,3,2,8,9,9,9,9,6,6,6,5,3,8,9,10
705,4,2,10,10,10,10,10,10,10,10,1,1,10,10,10
705,1,3,8,9,8,8,8,9,9,8,3,4,9,9,10
705,2,3,10,10,10,10,10,10,10,10,3,0,10,10,10
705,4,3,8,10,10,10,9,10,10,9,2,5,10,10,10
705,1,4,9,9,9,10,10,9,9,8,3,4,9,9,10
705,2,4,10,10,10,10,10,10,10,10,0,0,10,10,10
705,3,4,8,10,10,9,9,8,8,8,5,3,9,9,10
708,2,1,6,10,9,10,10,9,9,9,6,3,10,10,10
708,3,1,9,10,10,10,10,3,3,10,7,8,10,10,10
708,4,1,10,9,10,10,10,9,10,8,10,8,10,10,10
708,1,2,8,8,8,8,8,6,7,5,4,6,7,7,10
708,3,2,10,6,10,4,6,1,1,5,5,4,10,10,10
708,4,2,10,5,10,7,9,6,8,7,9,6,8,9,10
708,1,3,8,8,8,8,8,7,7,6,2,3,7,7,10
708,2,3,10,10,10,10,9,7,7,8,0,0,10,9,9
708,4,3,9,7,9,8,8,8,8,7,2,2,9,9,10
708,1,4,8,8,8,8,8,8,8,8,2,3,7,7,10
708,2,4,10,10,10,10,10,9,10,10,2,0,10,10,10
708,3,4,10,10,10,10,10,9,8,9,5,1,10,10,10
709,2,1,9,10,9,10,10,9,10,10,1,9,9,9,10
709,3,1,5,7,4,8,8,5,5,6,2,0,4,4,6
709,4,1,8,10,10,10,10,9,9,9,2,1,10,10,10
709,1,2,7,7,7,10,10,10,10,10,0,2,10,10,10
709,3,2,3,6,4,8,8,6,6,7,0,0,6,7,3
709,4,2,8,6,4,10,10,8,7,7,0,0,2,2,4
709,1,3,9,9,9,10,10,10,9,10,5,6,10,6,10
709,2,3,9,10,8,8,8,7,7,6,5,5,7,8,10
709,4,3,9,8,9,10,10,7,6,6,2,5,8,8,9
709,1,4,10,10,10,6,6,7,10,10,1,2,10,10,10
709,2,4,8,8,8,6,6,5,4,5,3,5,5,5,10
709,3,4,8,8,9,5,5,3,3,3,7,7,10,10,10
713,2,1,7,6,6,10,10,6,7,7,2,2,9,9,9
713,3,1,8,9,8,10,10,10,10,10,1,0,9,9,6
713,4,1,9,8,8,10,9,9,8,9,0,1,8,10,9
713,1,2,6,7,7,9,9,8,6,7,2,1,8,9,2
713,3,2,8,9,8,9,9,9,10,10,2,0,10,10,9
713,4,2,8,8,8,9,9,8,8,8,1,1,8,10,9
713,1,3,9,9,9,9,9,8,7,6,8,7,5,8,3
713,2,3,7,7,7,9,8,6,7,7,4,2,9,9,10
713,4,3,8,9,8,9,9,8,9,8,2,1,8,10,9
713,1,4,9,9,9,9,9,5,5,7,7,3,9,9,8
713,2,4,7,7,7,8,8,5,5,6,4,2,9,9,10
713,3,4,10,10,9,7,6,8,10,9,3,2,10,10,10
714,2,1,8,8,9,6,7,8,8,8,3,2,9,9,9
714,3,1,3,5,5,7,5,9,9,10,3,0,8,8,9
714,4,1,8,8,6,8,9,8,9,9,2,2,6,7,5
714,1,2,8,8,8,9,9,8,7,7,2,2,8,9,9
714,3,2,8,8,9,8,8,7,8,8,2,0,9,9,9
714,4,2,7,7,7,7,7,6,7,6,2,1,8,8,8
714,1,3,7,7,6,9,10,7,5,4,1,1,7,8,7
714,2,3,7,9,7,7,7,5,5,5,0,0,8,9,9
714,4,3,6,6,5,8,9,7,7,7,1,1,7,7,6
714,1,4,7,9,7,8,8,9,9,9,1,2,9,9,9
714,2,4,5,7,7,8,10,8,8,8,4,0,7,5,6
714,3,4,9,9,8,9,9,7,7,7,3,0,8,9,9
786,4,2,7,7,6,8,8,7,7,7,2,8,7,7,6
786,5,2,10,10,10,10,10,10,3,0,0,0,0,0,10
786,6,2,7,7,9,7,8,7,6,6,4,5,9,9,10
786,2,4,7,7,7,7,7,6,8,8,6,6,10,10,8
786,5,4,10,10,10,10,10,0,0,0,0,10,0,0,10
786,6,4,7,6,8,4,4,3,3,3,4,2,7,9,10
786,2,5,8,5,5,7,5,6,8,7,3,3,5,5,5
786,4,5,7,6,7,8,8,6,7,7,2,8,7,7,6
786,6,5,9,8,9,7,6,6,7,5,3,3,9,8,10
786,2,6,8,7,8,9,9,8,7,7,3,2,8,8,7
786,4,6,7,6,5,8,8,7,7,7,2,8,7,7,6
786,5,6,10,10,10,10,10,10,10,10,0,10,0,0,10
799,2,1,8,8,8,8,8,7,8,8,1,2,8,8,8
799,3,1,3,3,6,7,7,6,6,6,2,1,8,8,8
799,4,1,9,8,7,8,8,7,6,7,6,6,10,10,10
799,1,2,8,8,8,8,8,7,7,6,5,3,9,9,8
799,3,2,7,7,6,7,7,6,6,6,5,5,7,8,8
799,4,2,9,7,9,8,8,8,8,8,4,2,10,10,10
799,1,3,8,7,6,5,5,8,8,7,3,4,10,10,8
799,2,3,6,6,4,7,7,8,8,8,4,4,8,8,8
799,4,3,1,6,5,6,6,5,7,7,7,6,9,10,10
799,1,4,6,6,6,8,8,7,7,7,1,1,10,8,6
799,2,4,6,6,8,8,8,8,8,8,0,0,8,8,8
799,3,4,1,3,5,7,7,7,7,7,0,0,6,8,4
801,2,1,8,8,10,7,7,7,8,7,3,3,9,9,10
801,3,1,7,8,9,7,7,8,7,8,2,1,7,9,10
801,4,1,7,8,8,8,6,10,8,9,2,2,7,7,10
801,5,1,7,8,7,4,5,7,8,6,3,3,5,7,9
801,1,2,10,10,10,9,9,8,8,9,3,1,8,9,9
801,3,2,8,8,9,8,9,7,7,8,3,2,8,8,10
801,4,2,10,10,10,10,10,10,10,10,4,1,10,10,10
801,5,2,8,8,9,7,7,6,6,6,6,2,7,8,8
801,1,3,8,8,8,9,9,7,6,7,4,2,6,8,9
801,2,3,7,9,9,6,6,7,6,6,3,1,7,8,10
801,4,3,7,8,8,7,8,6,9,10,5,4,9,10,9
801,5,3,6,7,8,5,6,7,6,5,7,7,5,6,6
801,1,4,6,7,8,9,9,6,7,8,4,9,7,7,7
801,2,4,7,10,10,9,9,9,9,9,0,0,10,10,10
801,3,4,5,8,8,9,9,7,7,7,3,1,7,7,9
801,5,4,7,7,8,8,8,8,7,8,3,2,6,7,8
801,1,5,8,9,9,9,9,8,8,6,5,1,7,7,8
801,2,5,9,9,9,10,10,9,10,9,3,0,9,9,9
801,3,5,7,7,8,8,9,8,8,7,5,5,7,7,9
801,4,5,8,10,10,9,10,10,10,10,4,2,9,10,10
805,2,1,8,8,8,6,6,6,6,6,0,0,2,9,6
805,3,1,5,3,5,8,10,6,4,4,2,0,5,7,6
805,4,1,3,7,6,7,7,6,6,6,0,0,6,8,7
805,1,2,9,6,8,9,9,10,10,7,3,2,7,7,8
805,3,2,7,9,10,9,9,9,9,7,5,5,8,10,10
805,4,2,8,8,7,8,8,7,6,8,3,3,9,8,7
805,1,3,9,6,6,8,8,8,7,7,3,2,7,7,8
805,2,3,8,9,9,8,8,8,8,8,5,5,6,9,10
805,4,3,4,7,6,6,6,6,5,5,3,2,6,8,7
805,1,4,9,7,7,9,9,9,9,8,3,3,10,10,10
805,2,4,2,8,8,8,8,7,6,7,2,2,9,9,9
805,3,4,6,4,8,8,8,5,3,6,6,6,7,9,9
814,2,1,10,10,10,10,10,10,9,10,8,1,10,10,10
814,3,1,10,10,10,10,10,8,7,9,4,0,10,10,10
814,4,1,9,10,10,10,10,10,10,9,3,2,10,10,9
814,1,2,9,8,5,7,9,6,8,8,3,7,9,9,10
814,3,2,5,5,7,8,8,6,8,8,9,0,6,4,10
814,4,2,10,10,10,10,10,10,10,10,4,1,10,10,10
814,1,3,10,9,6,9,8,8,8,9,3,7,9,9,10
814,2,3,10,10,10,10,10,8,7,8,8,1,9,9,10
814,4,3,10,10,10,10,10,10,10,10,4,2,10,10,10
814,1,4,9,7,8,7,7,8,9,7,4,7,8,8,10
814,2,4,10,10,10,10,10,8,8,8,8,1,10,10,10
814,3,4,9,7,8,5,5,0,0,0,4,6,9,9,10
815,2,1,0,10,10,10,10,10,10,10,0,7,10,10,0
815,3,1,8,7,8,9,9,8,8,7,4,7,10,10,10
815,4,1,10,10,10,10,10,10,10,10,0,0,10,10,10
815,1,2,7,5,8,8,8,8,6,6,3,5,9,9,8
815,3,2,7,8,6,9,9,7,7,7,2,4,10,10,10
815,4,2,7,7,7,8,8,10,8,8,0,0,10,10,10
815,1,3,5,5,7,8,8,8,8,6,1,2,7,6,5
815,2,3,10,10,10,10,10,10,10,10,0,9,10,10,0
815,4,3,10,10,10,10,10,10,10,10,0,0,10,10,10
815,1,4,4,5,6,8,8,8,8,8,1,1,4,4,4
815,2,4,10,10,10,10,10,10,10,10,0,9,10,10,9
815,3,4,9,9,9,9,9,8,9,8,1,2,10,10,10
817,2,1,9,10,10,6,6,7,5,4,0,8,10,10,10
817,3,1,3,5,4,5,5,2,3,1,3,0,6,7,9
817,4,1,10,10,5,10,5,5,8,9,0,10,10,10,10
817,5,1,5,8,5,9,7,7,6,5,1,8,7,7,8
817,1,2,9,9,10,10,9,7,8,9,1,1,9,9,10
817,3,2,7,8,10,9,9,9,10,10,4,0,10,10,10
817,4,2,10,10,10,10,10,9,10,10,10,10,10,10,10
817,5,2,7,9,9,10,10,9,9,9,1,8,10,10,10
817,1,3,8,8,8,7,8,6,7,8,3,2,8,8,10
817,2,3,10,10,10,9,9,9,9,8,1,9,10,10,10
817,4,3,10,10,10,10,10,4,7,9,10,8,10,10,10
817,5,3,9,9,9,10,10,9,9,9,1,3,10,10,10
817,1,4,6,7,8,9,10,8,7,7,2,0,8,7,10
817,2,4,10,9,9,10,10,10,10,10,0,0,10,9,9
817,3,4,7,9,8,9,9,9,9,8,4,0,9,8,8
817,5,4,7,8,8,10,10,9,8,7,1,2,9,8,7
817,1,5,7,7,8,8,8,5,5,5,4,4,7,7,10
817,2,5,10,10,10,10,10,10,10,10,0,9,10,10,0
817,3,5,9,9,9,10,10,10,10,10,3,0,10,10,10
817,4,5,10,10,8,10,10,5,10,10,4,6,10,10,10
889,2,1,9,7,6,8,9,6,8,7,2,0,8,10,6
889,3,1,3,7,5,10,10,10,10,10,2,0,10,10,2
889,4,1,4,7,6,9,7,7,7,7,2,2,6,6,5
889,1,2,7,7,5,7,7,7,7,7,2,5,8,6,7
889,3,2,7,7,4,6,7,6,6,6,3,0,6,8,2
889,4,2,8,6,6,7,7,4,4,5,4,2,7,6,7
889,1,3,8,8,8,8,7,7,7,7,2,5,8,8,10
889,2,3,8,9,6,10,9,8,8,8,1,4,8,7,6
889,4,3,8,7,8,9,8,5,7,7,3,5,8,9,8
889,1,4,8,8,8,8,8,7,7,7,5,6,8,8,10
889,2,4,9,6,8,8,10,9,9,9,5,6,8,8,7
889,3,4,10,10,9,7,7,10,10,10,5,4,10,10,7
890,2,1,0,3,0,4,3,0,2,2,4,3,4,3,10
890,3,1,3,4,4,3,3,3,5,2,5,2,4,8,10
890,4,1,7,6,4,3,4,1,4,3,6,4,4,6,9
890,1,2,7,4,7,8,8,5,6,7,0,0,7,7,10
890,3,2,6,9,7,10,10,4,5,5,1,5,10,10,10
890,4,2,8,9,9,9,9,9,9,8,0,0,9,8,8
890,1,3,2,4,3,9,9,9,8,9,0,0,8,8,10
890,2,3,7,10,6,10,10,7,4,7,2,0,10,10,10
890,4,3,9,9,9,10,8,8,9,9,1,1,10,10,9
890,1,4,10,9,9,5,5,2,4,5,3,3,7,9,10
890,2,4,10,5,9,4,7,2,6,10,8,9,10,10,10
890,3,4,10,2,9,3,6,6,7,7,8,8,6,10,10
980,2,1,8,8,8,9,9,6,4,6,0,0,8.02600472813239,8.28368794326241,8.18676122931442
980,3,1,4,4,5,7,7,9,2,7,6,1,3,3,3
980,4,1,6,7,4,8,6,7,3,5,0,0,8,9,6
980,1,2,8,8,9,9,9,10,9,8,4,2,9,9,10
980,3,2,7,7,9,9,9,9,9,9,7,3,6,8,6
980,4,2,10,10,10,10,10,10,10,10,0,0,10,10,10
980,1,3,9,8,9,9,9,9,9,9,5,4,8,8,10
980,2,3,10,8,10,8,9,6,6,7,4,0,10,10,10
980,4,3,10,10,10,10,10,6,7,5,4,4,10,10,10
980,1,4,10,10,10,9,9,9,9,9,3,2,9,9,10
980,2,4,9,10,10,10,10,8,9,9,1,0,9,8,9
980,3,4,9,9,9,9,9,7,6,9,5,3,7,7,6
981,2,1,7,7,8,10,10,9,9,9,1,0,6,7,9
981,3,1,7,7,7,8,9,9,8,9,2,0,10,10,1
981,4,1,6,5,6,10,10,10,10,9,1,0,10,10,10
981,1,2,9,9,9,8,8,9,7,7,7,6,10,10,9
981,3,2,10,9,9,7,7,8,8,8,8,5,10,10,0
981,4,2,5,5,5,8,9,3,2,2,6,4,5,7,10
981,1,3,9,9,9,8,8,8,9,8,0,0,10,10,9
981,2,3,9,7,8,9,7,5,5,5,0,0,8,8,10
981,4,3,9,5,8,8,9,6,6,5,0,0,5,5,10
981,1,4,10,10,9,8,8,7,6,7,3,5,10,10,9
981,2,4,8,8,8,7,8,6,6,6,5,5,9,9,10
981,3,4,10,8,10,4,4,4,4,4,7,7,10,10,0
995,2,1,5,6,8,8,8,6,5,3,2,3,9,9,9
995,3,1,10,10,10,10,10,10,10,10,4,5,10,10,10
995,4,1,9,9,9,9,10,9,9,8,3,8,9,9,10
995,1,2,8,8,8,9,9,8,9,8,2,2,8,9,8
995,3,2,9,10,10,10,10,10,10,10,4,6,10,10,10
995,4,2,8,8,8,9,9,9,9,9,1,3,9,9,10
995,1,3,6,7,6,1,1,4,7,7,7,8,8,9,9
995,2,3,7,2,1,5,7,2,4,2,3,5,6,5,3
995,4,3,8,8,7,7,7,8,9,9,4,8,9,9,10
995,1,4,9,8,8,10,10,8,9,9,0,0,10,10,10
995,2,4,5,8,6,6,7,6,7,7,0,0,6,7,5
995,3,4,9,10,10,10,10,8,9,9,2,3,10,10,10
