"","StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","Group","Actor.id","A_L_1","A_L_2","A_L_3","A_L_4","B_L_1","B_L_2","B_L_3","B_L_4","C_L_1","C_L_2","C_L_3","C_L_4","D_L_1","D_L_2","D_L_3","D_L_4","E_L_1","E_L_2","E_L_3","E_L_4","F_L_1","F_L_2","F_L_3","F_L_4","A_I_1","A_I_2","A_I_3","B_I_1","B_I_2","B_I_3","C_I_1","C_I_2","C_I_3","D_I_1","D_I_2","D_I_3","E_I_1","E_I_2","E_I_3","F_i_1","F_i_2","F_i_3","A_S_1","A_S_2","A_S_3","B_S_1","B_S_2","B_S_3","C_S_1","C_S_2","C_S_3","D_S_1","D_S_2","D_S_3","E_S_1","E_S_2","E_S_3","F_S_1","F_S_2","F_S_3","A_H_1","A_H_2","A_H_3","B_H_1","B_H_2","B_H_3","C_H_1","C_H_2","C_H_3","D_H_1","D_H_2","D_H_3","E_H_1","E_H_2","E_H_3","F_F_1","F_F_2","F_F_3","Gender","Age_1"
"1","Start Date","End Date","Response Type","IP Address","Progress","Duration (in seconds)","Finished","Recorded Date","Response ID","Recipient Last Name","Recipient First Name","Recipient Email","External Data Reference","Location Latitude","Location Longitude","Distribution Channel","User Language","מהו מספר הקבוצה שמופיעה על דף הקוד שלך?","מהי אות הקוד של השם שלך?","סמן בבקשה את מידת ההקשבה וההבנה של - יחסית לאנשים אחרים,  A מקשיב לי","סמן בבקשה את מידת ההקשבה וההבנה של - יחסית לאנשים אחרים, A מבין אותי","סמן בבקשה את מידת ההקשבה וההבנה של - יחסית לאנשים אחרים, A נותן לי מקום להתבטא","סמן בבקשה את מידת ההקשבה וההבנה של - יחסית לאנשים אחרים, A מקבל אותי כמו שאני","סמן בבקשה את מידת ההקשבה וההבנה של B ביחס לשאר האנשים בחייך.שים
לב! בסולמות הבאים התשובה 3 מציינת ב""אופן רגיל"". - יחסית לאנשים אחרים, B מקשיב לי","סמן בבקשה את מידת ההקשבה וההבנה של B ביחס לשאר האנשים בחייך.שים
לב! בסולמות הבאים התשובה 3 מציינת ב""אופן רגיל"". - יחסית לאנשים אחרים, B מבין אותי","סמן בבקשה את מידת ההקשבה וההבנה של B ביחס לשאר האנשים בחייך.שים
לב! בסולמות הבאים התשובה 3 מציינת ב""אופן רגיל"". - יחסית לאנשים אחרים, B נותן לי מקום להתבטא","סמן בבקשה את מידת ההקשבה וההבנה של B ביחס לשאר האנשים בחייך.שים
לב! בסולמות הבאים התשובה 3 מציינת ב""אופן רגיל"". - יחסית לאנשים אחרים, B מקבל אותי כמו שאני","סמן בבקשה את מידת ההקשבה וההבנה של C ביחס לשאר האנשים בחייך.שים
לב! בסולמות הבאים התשובה 3 מציינת ב""אופן רגיל"". - יחסית לאנשים אחרים, C מקשיב לי","סמן בבקשה את מידת ההקשבה וההבנה של C ביחס לשאר האנשים בחייך.שים
לב! בסולמות הבאים התשובה 3 מציינת ב""אופן רגיל"". - יחסית לאנשים אחרים, C מבין אותי","סמן בבקשה את מידת ההקשבה וההבנה של C ביחס לשאר האנשים בחייך.שים
לב! בסולמות הבאים התשובה 3 מציינת ב""אופן רגיל"". - יחסית לאנשים אחרים, C נותן לי מקום להתבטא","סמן בבקשה את מידת ההקשבה וההבנה של C ביחס לשאר האנשים בחייך.שים
לב! בסולמות הבאים התשובה 3 מציינת ב""אופן רגיל"". - יחסית לאנשים אחרים, C מקבל אותי כמו שאני","סמן בבקשה את מידת ההקשבה וההבנה של D ביחס לשאר האנשים בחייך.שים
לב! בסולמות הבאים התשובה 3 מציינת ב""אופן רגיל"". - יחסית לאנשים אחרים, D מקשיב לי","סמן בבקשה את מידת ההקשבה וההבנה של D ביחס לשאר האנשים בחייך.שים
לב! בסולמות הבאים התשובה 3 מציינת ב""אופן רגיל"". - יחסית לאנשים אחרים, D מבין אותי","סמן בבקשה את מידת ההקשבה וההבנה של D ביחס לשאר האנשים בחייך.שים
לב! בסולמות הבאים התשובה 3 מציינת ב""אופן רגיל"". - יחסית לאנשים אחרים, D נותן לי מקום להתבטא","סמן בבקשה את מידת ההקשבה וההבנה של D ביחס לשאר האנשים בחייך.שים
לב! בסולמות הבאים התשובה 3 מציינת ב""אופן רגיל"". - יחסית לאנשים אחרים, D מקבל אותי כמו שאני","סמן בבקשה את מידת ההקשבה וההבנה של E ביחס לשאר האנשים בחייך.שים
לב! בסולמות הבאים התשובה 3 מציינת ב""אופן רגיל"". - יחסית לאנשים אחרים, E מקשיב לי","סמן בבקשה את מידת ההקשבה וההבנה של E ביחס לשאר האנשים בחייך.שים
לב! בסולמות הבאים התשובה 3 מציינת ב""אופן רגיל"". - יחסית לאנשים אחרים, E מבין אותי","סמן בבקשה את מידת ההקשבה וההבנה של E ביחס לשאר האנשים בחייך.שים
לב! בסולמות הבאים התשובה 3 מציינת ב""אופן רגיל"". - יחסית לאנשים אחרים, E נותן לי מקום להתבטא","סמן בבקשה את מידת ההקשבה וההבנה של E ביחס לשאר האנשים בחייך.שים
לב! בסולמות הבאים התשובה 3 מציינת ב""אופן רגיל"". - יחסית לאנשים אחרים, E מקבל אותי כמו שאני","סמן בבקשה את מידת ההקשבה וההבנה של F ביחס לשאר האנשים בחייך.שים
לב! בסולמות הבאים התשובה 3 מציינת ב""אופן רגיל"". - יחסית לאנשים אחרים, F מקשיב לי","סמן בבקשה את מידת ההקשבה וההבנה של F ביחס לשאר האנשים בחייך.שים
לב! בסולמות הבאים התשובה 3 מציינת ב""אופן רגיל"". - יחסית לאנשים אחרים, F מבין אותי","סמן בבקשה את מידת ההקשבה וההבנה של F ביחס לשאר האנשים בחייך.שים
לב! בסולמות הבאים התשובה 3 מציינת ב""אופן רגיל"". - יחסית לאנשים אחרים, F נותן לי מקום להתבטא","סמן בבקשה את מידת ההקשבה וההבנה של F ביחס לשאר האנשים בחייך.שים
לב! בסולמות הבאים התשובה 3 מציינת ב""אופן רגיל"". - יחסית לאנשים אחרים, F מקבל אותי כמו שאני","להלן סמן בבקשה את מידת הקירבה שלך ל A. - אני מרגיש קרוב רגשית ל A","להלן סמן בבקשה את מידת הקירבה שלך ל A. - אני מרגיש נוח לשתף את A במחשבות או רגשות פנימיים","להלן סמן בבקשה את מידת הקירבה שלך ל A. - אני נהנה לבצע משימות עם A","להלן סמן בבקשה את מידת הקירבה שלך ל B. - אני מרגיש קרוב רגשית ל B","להלן סמן בבקשה את מידת הקירבה שלך ל B. - אני מרגיש נוח לשתף את B במחשבות או רגשות פנימיים","להלן סמן בבקשה את מידת הקירבה שלך ל B. - אני נהנה לבצע משימות עם B","להלן סמן בבקשה את מידת הקירבה שלך ל C. - אני מרגיש קרוב רגשית ל C","להלן סמן בבקשה את מידת הקירבה שלך ל C. - אני מרגיש נוח לשתף את C במחשבות או רגשות פנימיים","להלן סמן בבקשה את מידת הקירבה שלך ל C. - אני נהנה לבצע משימות עם C","להלן סמן בבקשה את מידת הקירבה שלך ל D. - אני מרגיש קרוב רגשית ל D","להלן סמן בבקשה את מידת הקירבה שלך ל D. - אני מרגיש נוח לשתף את D במחשבות או רגשות פנימיים","להלן סמן בבקשה את מידת הקירבה שלך ל D. - אני נהנה לבצע משימות עם D","להלן סמן בבקשה את מידת הקירבה שלך ל E. - אני מרגיש קרוב רגשית ל E","להלן סמן בבקשה את מידת הקירבה שלך ל E. - אני מרגיש נוח לשתף את E במחשבות או רגשות פנימיים","להלן סמן בבקשה את מידת הקירבה שלך ל E. - אני נהנה לבצע משימות עם E","להלן סמן בבקשה את מידת הקירבה שלך ל F. - אני מרגיש קרוב רגשית ל F","להלן סמן בבקשה את מידת הקירבה שלך ל F. - אני מרגיש נוח לשתף את F במחשבות או רגשות פנימיים","להלן סמן בבקשה את מידת הקירבה שלך ל F. - אני נהנה לבצע משימות עם F","להלן סמן בבקשה את אופן הדיבור של A - A מדבר ברור","להלן סמן בבקשה את אופן הדיבור של A - A מדבר בצורה מעניינת","להלן סמן בבקשה את אופן הדיבור של A - ל- A יש קול נעים","להלן סמן בבקשה את אופן הדיבור של B - B מדבר ברור","להלן סמן בבקשה את אופן הדיבור של B - B מדבר בצורה מעניינת","להלן סמן בבקשה את אופן הדיבור של B - ל- B יש קול נעים","להלן סמן בבקשה את אופן הדיבור של C - C מדבר ברור","להלן סמן בבקשה את אופן הדיבור של C - C מדבר בצורה מעניינת","להלן סמן בבקשה את אופן הדיבור של C - ל- C יש קול נעים","להלן סמן בבקשה את אופן הדיבור של D - D מדבר ברור","להלן סמן בבקשה את אופן הדיבור של D - D מדבר בצורה מעניינת","להלן סמן בבקשה את אופן הדיבור של D - ל- D יש קול נעים","להלן סמן בבקשה את אופן הדיבור של E - E מדבר ברור","להלן סמן בבקשה את אופן הדיבור של E - E מדבר בצורה מעניינת","להלן סמן בבקשה את אופן הדיבור של E - ל- E יש קול נעים","להלן סמן בבקשה את אופן הדיבור של F - F מדבר ברור","להלן סמן בבקשה את אופן הדיבור של F - F מדבר בצורה מעניינת","להלן סמן בבקשה את אופן הדיבור של F - ל- F יש קול נעים","להלן סמן בבקשה את רצונך לעזור ל- A מעבר לדרישות התפקיד - ארצה לעזור ל- A מעבר לדרישות התפקיד","להלן סמן בבקשה את רצונך לעזור ל- A מעבר לדרישות התפקיד - אעזור ל- A בעבודתו, ככל שאוכל, במידה ויהיה עליו עומס","להלן סמן בבקשה את רצונך לעזור ל- A מעבר לדרישות התפקיד - אתגמש בחופשות או שעות עבודה כדי לעזור ל- A","להלן סמן בבקשה את רצונך לעזור ל-B מעבר לדרישות התפקיד - ארצה לעזור ל- B מעבר לדרישות התפקיד","להלן סמן בבקשה את רצונך לעזור ל-B מעבר לדרישות התפקיד - אעזור ל- B בעבודתו, ככל שאוכל, במידה ויהיה עליו עומס","להלן סמן בבקשה את רצונך לעזור ל-B מעבר לדרישות התפקיד - אתגמש בחופשות או שעות עבודה כדי לעזור ל- B","להלן סמן בבקשה את רצונך לעזור ל- C מעבר לדרישות התפקיד - ארצה לעזור ל- C מעבר לדרישות התפקיד","להלן סמן בבקשה את רצונך לעזור ל- C מעבר לדרישות התפקיד - אעזור ל- C בעבודתו, ככל שאוכל, במידה ויהיה עליו עומס","להלן סמן בבקשה את רצונך לעזור ל- C מעבר לדרישות התפקיד - אתגמש בחופשות או שעות עבודה כדי לעזור ל- C","להלן סמן בבקשה את רצונך לעזור ל- D מעבר לדרישות התפקיד - ארצה לעזור ל- D מעבר לדרישות התפקיד","להלן סמן בבקשה את רצונך לעזור ל- D מעבר לדרישות התפקיד - אעזור ל- D בעבודתו, ככל שאוכל, במידה ויהיה עליו עומס","להלן סמן בבקשה את רצונך לעזור ל- D מעבר לדרישות התפקיד - אתגמש בחופשות או שעות עבודה כדי לעזור ל- D","להלן סמן בבקשה את רצונך לעזור ל- E מעבר לדרישות התפקיד - ארצה לעזור ל- E מעבר לדרישות התפקיד","להלן סמן בבקשה את רצונך לעזור ל- E מעבר לדרישות התפקיד - אעזור ל- E בעבודתו, ככל שאוכל, במידה ויהיה עליו עומס","להלן סמן בבקשה את רצונך לעזור ל- E מעבר לדרישות התפקיד - אתגמש בחופשות או שעות עבודה כדי לעזור ל- E","להלן סמן בבקשה את רצונך לעזור ל- F מעבר לדרישות התפקיד - ארצה לעזור ל- F מעבר לדרישות התפקיד","להלן סמן בבקשה את רצונך לעזור ל- F מעבר לדרישות התפקיד - אעזור ל- F בעבודתו, ככל שאוכל, במידה ויהיה עליו עומס","להלן סמן בבקשה את רצונך לעזור ל- F מעבר לדרישות התפקיד - אתגמש בחופשות או שעות עבודה כדי לעזור ל- F","מין","שנת לידה - אנא לחץ ובחר"
"2","{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID4""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID10_2""}","{""ImportId"":""QID10_3""}","{""ImportId"":""QID10_4""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID5_2""}","{""ImportId"":""QID5_3""}","{""ImportId"":""QID5_4""}","{""ImportId"":""QID7_1""}","{""ImportId"":""QID7_2""}","{""ImportId"":""QID7_3""}","{""ImportId"":""QID7_4""}","{""ImportId"":""QID9_1""}","{""ImportId"":""QID9_2""}","{""ImportId"":""QID9_3""}","{""ImportId"":""QID9_4""}","{""ImportId"":""QID37_1""}","{""ImportId"":""QID37_2""}","{""ImportId"":""QID37_3""}","{""ImportId"":""QID37_4""}","{""ImportId"":""QID41_1""}","{""ImportId"":""QID41_2""}","{""ImportId"":""QID41_3""}","{""ImportId"":""QID41_4""}","{""ImportId"":""QID19_1""}","{""ImportId"":""QID19_2""}","{""ImportId"":""QID19_3""}","{""ImportId"":""QID20_1""}","{""ImportId"":""QID20_2""}","{""ImportId"":""QID20_3""}","{""ImportId"":""QID21_1""}","{""ImportId"":""QID21_2""}","{""ImportId"":""QID21_3""}","{""ImportId"":""QID22_1""}","{""ImportId"":""QID22_2""}","{""ImportId"":""QID22_3""}","{""ImportId"":""QID38_1""}","{""ImportId"":""QID38_2""}","{""ImportId"":""QID38_3""}","{""ImportId"":""QID42_1""}","{""ImportId"":""QID42_2""}","{""ImportId"":""QID42_3""}","{""ImportId"":""QID28_1""}","{""ImportId"":""QID28_4""}","{""ImportId"":""QID28_2""}","{""ImportId"":""QID29_1""}","{""ImportId"":""QID29_2""}","{""ImportId"":""QID29_3""}","{""ImportId"":""QID30_1""}","{""ImportId"":""QID30_2""}","{""ImportId"":""QID30_3""}","{""ImportId"":""QID31_1""}","{""ImportId"":""QID31_2""}","{""ImportId"":""QID31_3""}","{""ImportId"":""QID39_1""}","{""ImportId"":""QID39_2""}","{""ImportId"":""QID39_3""}","{""ImportId"":""QID43_1""}","{""ImportId"":""QID43_2""}","{""ImportId"":""QID43_3""}","{""ImportId"":""QID32_1""}","{""ImportId"":""QID32_6""}","{""ImportId"":""QID32_4""}","{""ImportId"":""QID33_1""}","{""ImportId"":""QID33_2""}","{""ImportId"":""QID33_3""}","{""ImportId"":""QID34_1""}","{""ImportId"":""QID34_2""}","{""ImportId"":""QID34_3""}","{""ImportId"":""QID35_1""}","{""ImportId"":""QID35_2""}","{""ImportId"":""QID35_3""}","{""ImportId"":""QID40_1""}","{""ImportId"":""QID40_2""}","{""ImportId"":""QID40_3""}","{""ImportId"":""QID44_1""}","{""ImportId"":""QID44_2""}","{""ImportId"":""QID44_3""}","{""ImportId"":""QID24""}","{""ImportId"":""QID26_1""}"
"3","2018-01-24 00:56:43","2018-01-24 01:04:15","0","37.26.149.197","100","451","1","2018-01-24 01:04:16","R_1NlbZaZVzGkcsse","","","","","32.066604614258","34.764999389648","qr","HE","645","3","5","4","4","4","7","4","5","6","","","","","6","4","6","5","4","3","4","4","4","4","4","4","6","7","5","8","7","8","","","","6","7","6","4","4","5","6","7","7","8","8","7","8","7","8","","","","6","6","6","4","4","4","7","5","4","6","6","4","9","8","7","","","","8","8","7","6","7","4","7","8","7","2","58"
"4","2018-01-24 00:56:46","2018-01-24 01:05:00","0","46.19.86.235","100","493","1","2018-01-24 01:05:00","R_3WWq1pJeUmFwIwx","","","","","32.080596923828","34.814193725586","anonymous","HE","645","1","","","","","3","6","6","4","4","4","4","4","6","7","5","4","5","3","4","4","10","10","9","9","","","","11","9","6","5","4","9","6","9","9","5","5","8","8","9","10","","","","11","7","10","11","9","10","11","8","11","7","5","4","8","8","7","","","","11","10","7","11","9","6","11","11","7","11","8","5","11","11","8","1","58"
"5","2018-01-24 00:57:27","2018-01-24 01:07:22","0","37.26.147.181","100","595","1","2018-01-24 01:07:23","R_2aY7EpySiQiikVS","","","","","32.066604614258","34.764999389648","qr","HE","645","6","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","5","5","5","4","","","","","6","5","8","4","6","6","5","6","8","7","8","8","7","8","11","","","","11","8","8","11","7","7","10","8","8","10","8","10","8","8","8","","","","8","8","6","8","8","8","9","8","8","8","8","6","9","9","9","","","","2","53"
"6","2018-01-24 00:56:27","2018-01-24 01:08:43","0","37.26.147.180","100","736","1","2018-01-24 01:08:44","R_2Y3WwjM6eLDoHxb","","","","","32.066604614258","34.764999389648","anonymous","HE","645","5","4","4","4","5","3","4","2","3","3","3","4","3","6","7","6","6","","","","","9","10","9","8","4","5","6","4","3","3","5","5","3","8","9","8","","","","9","9","11","8","9","8","9","7","9","8","6","6","11","9","7","","","","7","9","7","9","10","2","7","7","2","6","6","1","9","9","5","","","","10","10","4","2","56"
"7","2018-01-24 00:57:36","2018-01-24 01:10:32","0","2.53.174.94","100","776","1","2018-01-24 01:10:32","R_1OE5Tg16IIO4k9M","","","","","32.066604614258","34.764999389648","qr","HE","645","2","9","9","9","9","","","","","9","9","9","9","9","9","9","9","4","4","9","9","9","9","9","9","10","10","10","","","","9","9","10","8","8","10","6","6","9","6","7","9","11","11","11","","","","11","11","11","11","8","9","8","8","8","11","11","11","11","10","10","","","","11","9","9","11","9","8","11","9","8","11","9","9","1","58"
"8","2018-01-24 00:57:12","2018-01-24 01:10:46","0","2.53.165.220","100","813","1","2018-01-24 01:10:47","R_u3d0DVCh3cfutln","","","","","31.5","34.75","qr","HE","645","4","6","4","4","4","4","5","5","6","8","5","7","5","","","","","7","7","6","7","8","9","9","9","2","2","3","2","2","5","3","3","4","","","","5","6","4","5","7","6","9","7","8","11","7","10","8","8","9","","","","4","3","5","8","6","6","11","11","6","11","11","8","11","11","8","","","","11","11","8","10","10","8","2","52"
"9","2018-02-05 06:27:46","2018-02-05 06:36:30","0","82.81.161.130","100","524","1","2018-02-05 06:36:31","R_3kFHaElO9KCYWEr","","","","","31.779998779297","35.229995727539","anonymous","HE","658","4","4","4","4","3","4","4","5","5","5","5","4","4","","","","","6","5","6","7","6","6","7","6","6","4","5","7","6","5","5","6","6","","","","9","8","9","8","7","8","9","9","9","9","9","9","9","9","8","","","","9","9","9","9","9","9","9","9","8","9","8","7","7","8","6","","","","10","10","10","9","9","7","1","46"
"10","2018-02-05 06:28:01","2018-02-05 06:36:47","0","82.81.161.130","100","525","1","2018-02-05 06:36:47","R_1f7P4bbrEBIwUF3","","","","","31.779998779297","35.229995727539","anonymous","HE","658","3","6","6","6","6","5","6","6","5","","","","","6","5","7","6","4","5","5","4","7","8","8","9","5","4","7","5","5","7","","","","7","7","7","6","5","7","9","6","10","10","9","9","8","8","10","","","","7","8","10","9","8","8","10","10","10","10","10","9","9","10","9","","","","11","10","9","10","10","9","11","11","11","2","50"
"11","2018-02-05 06:29:47","2018-02-05 06:37:00","0","82.81.161.130","100","433","1","2018-02-05 06:37:01","R_27P4FIvejIYzhv5","","","","","31.779998779297","35.229995727539","anonymous","HE","658","5","6","7","6","8","4","3","4","3","6","6","6","4","10","10","9","9","","","","","8","5","6","9","10","10","8","2","3","4","3","3","6","10","11","9","","","","8","9","11","10","10","9","7","7","9","9","7","9","9","9","9","","","","11","9","9","9","9","8","7","6","6","7","7","5","10","9","10","","","","10","9","9","1","48"
"12","2018-02-05 06:28:35","2018-02-05 06:39:04","0","82.81.161.130","100","628","1","2018-02-05 06:39:04","R_ZxW8Xn95imVJoDD","","","","","31.779998779297","35.229995727539","anonymous","HE","658","1","","","","","4","4","4","4","4","4","4","4","7","7","9","9","10","10","10","10","6","6","9","9","","","","3","3","7","3","3","7","8","6","10","10","10","8","3","3","8","","","","9","7","9","10","8","10","11","11","11","10","10","10","11","11","11","","","","7","11","6","8","11","7","9","11","8","11","11","11","9","11","8","2","47"
"13","2018-02-05 06:27:31","2018-02-05 06:39:12","0","82.81.161.130","100","700","1","2018-02-05 06:39:14","R_Zgbwwzrrie78Gyd","","","","","31.779998779297","35.229995727539","anonymous","HE","658","6","9","7","8","7","8","4","7","7","9","7","9","6","8","6","6","6","6","7","9","8","","","","","5","6","9","8","7","8","8","6","9","10","9","6","8","8","6","","","","9","10","8","9","7","9","8","7","8","8","9","9","9","9","9","","","","9","9","6","9","8","6","9","9","6","10","10","8","8","8","5","","","","2","48"
"14","2018-02-05 06:28:21","2018-02-05 06:41:56","0","82.81.161.130","100","815","1","2018-02-05 06:41:57","R_3iQCPOId4jcE2oG","","","","","31.779998779297","35.229995727539","anonymous","HE","658","2","4","3","4","3","","","","","6","4","4","3","7","7","7","7","3","3","4","5","7","6","6","6","4","3","5","","","","3","5","4","9","9","8","4","6","3","7","8","9","5","6","5","","","","7","6","10","8","8","7","4","6","3","8","8","6","7","6","6","","","","7","6","6","8","7","8","5","5","4","8","7","7","2","45"
"15","2018-02-08 04:37:57","2018-02-08 04:44:58","0","132.64.207.53","100","420","1","2018-02-08 04:44:58","R_6KUV7k1UBerNI4h","","","","","31.779998779297","35.229995727539","anonymous","HE","807","4","4","4","4","4","4","4","4","4","4","4","4","4","","","","","4","4","4","4","4","4","4","4","11","9","7","11","11","7","1","1","1","","","","11","8","8","7","5","10","11","9","11","11","11","11","1","1","1","","","","11","11","11","11","7","11","11","11","11","11","11","11","9","11","9","","","","11","11","11","11","11","11","1","41"
"16","2018-02-08 04:41:58","2018-02-08 04:46:52","0","132.64.207.61","100","294","1","2018-02-08 04:46:53","R_2e4IcfG8yYnki6D","","","","","31.779998779297","35.229995727539","anonymous","HE","807","5","2","2","2","2","7","7","7","7","4","4","4","4","10","10","10","10","","","","","4","4","4","4","5","5","5","6","6","6","1","1","1","11","11","11","","","","5","5","5","8","8","6","9","9","9","1","1","1","11","11","11","","","","1","1","1","3","3","3","3","3","3","1","1","1","11","11","11","","","","3","3","3","1","45"
"17","2018-02-08 05:02:16","2018-02-08 05:11:33","0","132.64.207.178","100","557","1","2018-02-08 05:11:34","R_2V4n0Zis1qQbtr6","","","","","31.779998779297","35.229995727539","anonymous","HE","807","3","5","5","5","5","5","5","5","5","","","","","5","5","5","5","4","4","4","4","5","5","5","5","7","5","7","7","5","7","","","","7","5","7","6","5","6","6","5","5","11","11","11","11","11","11","","","","11","11","11","11","11","11","11","11","11","8","9","6","8","9","6","","","","8","9","6","8","9","6","8","9","6","1","37"
"18","2018-02-08 06:21:04","2018-02-08 06:26:46","0","132.64.207.49","100","341","1","2018-02-08 06:26:47","R_VI6GqVQpktJxbPP","","","","","31.779998779297","35.229995727539","anonymous","HE","807","2","5","5","5","5","","","","","5","5","5","5","9","9","9","9","6","6","6","6","4","4","5","4","9","9","9","","","","3","3","3","9","9","9","3","3","3","6","6","6","6","6","6","","","","6","6","6","9","9","9","6","6","6","5","5","5","10","10","10","","","","10","10","10","10","10","10","10","10","10","10","10","10","1","32"
"19","2018-02-12 04:52:03","2018-02-12 04:58:16","0","132.64.207.63","100","373","1","2018-02-12 04:58:17","R_1KeYDYwwI12bbZF","","","","","31.779998779297","35.229995727539","anonymous","HE","807","6","8","8","8","8","10","10","10","10","10","6","6","10","10","10","9","9","8","8","8","8","","","","","8","7","7","9","9","9","6","3","3","10","10","10","8","6","8","","","","7","7","7","9","9","9","8","8","8","10","10","9","11","10","10","","","","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","","","","1","23"
"20","2018-02-20 06:22:53","2018-02-20 06:31:47","0","132.64.207.54","100","533","1","2018-02-20 06:31:47","R_1LZs4H9iElrO5U2","","","","","31.779998779297","35.229995727539","anonymous","HE","807","1","","","","","9","10","9","10","4","4","4","4","9","10","9","10","4","4","4","4","7","7","7","9","","","","10","10","9","4","4","4","11","11","11","4","4","5","10","9","10","","","","11","11","11","8","8","11","11","11","11","11","11","11","8","8","10","","","","11","11","10","6","6","4","11","11","11","7","7","4","11","11","10","1","39"
